Location,Size (sqft),Bedrooms,Bathrooms,Property Type,Year Built,Condition,Nearby Amenities,Crime Rate,Market Demand Index,Price (USD)
Long Beach,4483,5,5,Independent House,2017,Needs Renovation,10,7.73,36.82,1036669
Bakersfield,2279,6,4,Independent House,1961,Needs Renovation,5,3.13,55.76,4686992
Long Beach,4594,1,3,Apartment,1986,Recently Renovated,8,3.57,63.15,4782420
Long Beach,926,4,5,Independent House,2021,New,9,4.98,18.28,1994302
Fresno,3674,4,2,Independent House,1988,Recently Renovated,3,2.22,44.29,2349648
Sacramento,930,6,1,Villa,1986,Recently Renovated,4,7.45,39.89,1376961
Long Beach,3598,1,4,Condo,1993,New,1,3.88,52.39,3157467
Fresno,4989,1,5,Condo,2005,Needs Renovation,8,7.18,12.4,2315825
Oakland,2222,5,2,Independent House,1951,Recently Renovated,5,6.61,95.18,2857949
Los Angeles,2678,2,2,Apartment,2012,New,8,8.55,30.34,3021010
Oakland,1894,6,5,Villa,2008,New,7,2.48,77.24,1449758
San Diego,3320,2,4,Condo,2023,Good,2,1.1,76.68,2652385
Sacramento,1631,5,1,Independent House,1991,Needs Renovation,1,8.7,79.22,4787254
Oakland,4373,3,5,Condo,1957,Needs Renovation,1,4.69,97.23,3699617
San Jose,3216,5,1,Villa,2006,Needs Renovation,5,3.39,21.85,2139928
San Francisco,2879,4,4,Independent House,1950,New,9,4.52,72.53,2787397
Sacramento,2244,1,4,Townhouse,1967,Needs Renovation,10,3.88,76.72,3479380
Anaheim,3457,3,4,Apartment,1959,Good,6,7.24,91.79,2620237
Fresno,4005,2,2,Townhouse,2019,Good,10,3.63,68.54,1015046
San Jose,914,3,1,Townhouse,2023,Needs Renovation,2,9.0,16.68,1510877
Bakersfield,4342,4,5,Independent House,2001,Needs Renovation,4,1.43,7.31,655823
San Jose,4769,5,2,Apartment,1986,Good,2,7.51,86.18,278672
San Francisco,1635,6,1,Apartment,1982,Good,6,9.83,3.67,4155856
Sacramento,1295,6,2,Independent House,2000,New,7,6.55,8.77,417921
Anaheim,689,2,5,Apartment,1979,Recently Renovated,7,7.87,42.82,684774
Oakland,4520,6,3,Villa,2002,Recently Renovated,10,7.8,87.09,3506716
San Diego,2161,2,1,Townhouse,1995,Good,10,5.14,95.89,4001535
Anaheim,1744,4,5,Villa,2015,Needs Renovation,2,2.75,39.7,2707148
Bakersfield,1897,2,2,Townhouse,1969,Good,1,2.96,39.11,3411444
San Francisco,972,4,4,Villa,2018,New,8,9.0,95.11,171704
Oakland,3017,3,4,Apartment,2005,Good,4,3.39,87.3,2768409
Fresno,2002,2,3,Condo,1998,New,8,9.7,20.48,3710243
San Diego,4159,2,2,Condo,1985,Needs Renovation,6,3.9,38.59,2554540
Anaheim,2645,5,1,Condo,2006,Good,1,7.99,80.58,325336
Bakersfield,1176,4,5,Independent House,1969,Needs Renovation,6,5.91,68.91,1556303
Sacramento,4087,1,5,Condo,1967,Recently Renovated,2,3.97,55.34,1470509
Oakland,1072,3,4,Townhouse,1969,New,2,7.08,68.68,4639458
San Diego,3616,6,1,Apartment,1952,Recently Renovated,6,4.68,97.09,907849
Los Angeles,1008,3,3,Townhouse,1984,Needs Renovation,4,9.91,24.62,1007797
Sacramento,3895,5,4,Condo,2009,Good,7,6.61,35.08,1583467
San Diego,3776,6,1,Independent House,1983,New,6,5.41,5.07,3084534
San Jose,3898,1,2,Independent House,1960,Good,9,6.99,16.98,1771650
Oakland,852,4,3,Apartment,1958,New,8,2.09,56.72,4119291
Fresno,1791,4,5,Apartment,1982,Good,6,1.57,26.08,3594483
Oakland,3916,4,4,Apartment,1985,New,10,1.49,96.59,1711543
San Diego,4636,1,4,Townhouse,2014,Needs Renovation,5,8.0,13.99,1349252
Anaheim,603,4,3,Townhouse,1981,New,2,8.71,50.91,4795454
San Diego,3851,3,1,Villa,2008,Needs Renovation,5,8.58,70.17,2522245
Anaheim,684,2,2,Independent House,2021,Needs Renovation,5,2.9,64.83,4717225
San Diego,3226,5,4,Independent House,1990,Needs Renovation,2,1.33,13.75,2672997
Los Angeles,2282,6,3,Condo,1989,New,4,2.81,12.32,4726851
Oakland,3062,6,1,Villa,1952,Recently Renovated,2,5.93,89.15,4769880
Bakersfield,3514,5,1,Condo,2019,New,2,8.82,25.53,2496143
Bakersfield,4873,3,1,Villa,1989,Recently Renovated,6,6.37,46.77,4619446
Bakersfield,730,3,2,Villa,1956,Good,1,3.27,63.45,3721175
Fresno,772,6,2,Independent House,1993,New,3,4.1,44.4,3145496
Fresno,1245,5,1,Independent House,1982,New,9,9.9,39.37,478031
Los Angeles,2114,3,4,Townhouse,1990,Good,8,7.57,80.97,3720664
Bakersfield,2235,6,2,Apartment,1963,Needs Renovation,1,8.52,20.8,3281315
San Diego,2936,2,2,Condo,1957,Recently Renovated,9,5.27,96.23,665958
San Jose,1754,1,2,Condo,2010,New,6,7.9,94.48,3816406
San Francisco,4373,1,1,Independent House,1989,New,9,4.52,24.62,1911040
Los Angeles,3469,3,5,Condo,1974,Needs Renovation,5,6.66,39.54,2752931
San Francisco,1421,2,1,Townhouse,1950,Recently Renovated,6,4.48,98.82,1207240
San Diego,789,5,5,Villa,1970,Recently Renovated,7,3.86,45.86,659790
Bakersfield,4137,3,1,Apartment,1967,Needs Renovation,4,3.4,67.69,2266333
Los Angeles,4920,2,5,Apartment,1992,New,10,3.83,3.13,1145133
Oakland,1309,4,1,Independent House,1998,Good,1,3.93,5.33,2991481
Fresno,2295,5,5,Independent House,2019,Recently Renovated,6,3.8,25.84,3668415
Fresno,1086,4,5,Townhouse,1989,Good,7,3.8,33.84,3747897
Long Beach,2630,4,5,Condo,2023,New,9,1.91,58.97,868577
San Jose,575,5,1,Apartment,2019,Good,4,6.93,86.17,4134606
Oakland,1493,2,3,Apartment,1958,Good,8,9.72,75.09,2529677
Anaheim,4752,1,5,Independent House,1987,Good,10,6.45,20.68,1359211
Fresno,847,4,1,Townhouse,1956,New,10,7.91,30.58,3657478
San Jose,2605,5,1,Apartment,1984,Recently Renovated,6,2.15,3.9,1276036
San Diego,4819,6,4,Independent House,2014,Good,2,1.13,9.47,2228671
San Diego,1637,2,2,Townhouse,1974,Needs Renovation,6,2.34,69.41,3325279
Bakersfield,1656,3,2,Independent House,1993,New,9,1.57,54.48,4582366
San Diego,2849,2,3,Apartment,1989,Recently Renovated,1,6.45,23.35,2688175
Oakland,1221,1,4,Villa,1958,Needs Renovation,2,5.01,1.25,2780936
San Francisco,2802,5,1,Independent House,1990,Good,9,2.03,87.68,4327919
San Jose,2754,1,1,Apartment,1999,Recently Renovated,7,4.27,4.57,3120804
San Francisco,3970,2,4,Independent House,1974,Good,5,8.73,56.6,3426710
Sacramento,1568,5,5,Independent House,1970,Good,7,9.0,12.84,3821297
Long Beach,2107,5,1,Condo,1984,Needs Renovation,6,7.88,2.0,3960961
Anaheim,2173,4,4,Condo,2019,Needs Renovation,1,9.88,33.83,2882648
San Francisco,1498,6,2,Independent House,2017,Recently Renovated,1,4.89,59.36,3980825
Los Angeles,2101,3,2,Condo,2015,Good,6,6.94,4.14,2031372
Sacramento,3069,5,2,Independent House,1980,Good,6,1.17,44.36,2070360
Anaheim,2262,4,4,Villa,2007,Needs Renovation,8,8.02,90.34,4633971
Fresno,3644,3,2,Apartment,2005,Good,9,3.91,8.42,2073838
Anaheim,3430,4,4,Apartment,1959,Recently Renovated,8,5.38,73.61,2108239
San Francisco,2846,2,4,Independent House,1994,New,6,4.04,2.85,3059361
San Francisco,4141,4,5,Townhouse,2016,New,4,1.45,61.22,1830890
Anaheim,1672,2,2,Apartment,2019,Recently Renovated,9,3.66,45.2,1815093
San Francisco,4061,6,5,Condo,1968,Good,10,1.97,6.15,908820
Anaheim,1538,2,2,Townhouse,1977,Good,2,6.94,70.21,2372630
Sacramento,3997,1,4,Independent House,1950,New,5,5.88,70.64,187369
Los Angeles,2604,3,3,Townhouse,1950,Good,6,5.34,33.49,264720
San Diego,1765,6,3,Townhouse,1980,Needs Renovation,1,7.4,90.07,4732541
San Francisco,4456,6,1,Condo,1986,Good,4,9.03,21.72,3396962
Los Angeles,4144,4,4,Independent House,1986,Recently Renovated,5,6.66,87.57,3543133
Long Beach,730,1,1,Townhouse,1991,Recently Renovated,2,2.9,28.08,345568
Oakland,999,2,5,Apartment,1983,Recently Renovated,6,4.96,96.55,3429694
Oakland,3209,6,3,Condo,2006,Needs Renovation,1,4.24,39.95,3047296
San Francisco,1158,5,4,Condo,1981,New,2,9.24,25.23,4024235
Bakersfield,1394,1,2,Independent House,1994,Good,8,1.38,59.38,3945542
Anaheim,1143,6,4,Condo,1989,Needs Renovation,4,2.65,56.03,1246859
Fresno,4533,1,2,Villa,1986,Needs Renovation,4,9.03,63.75,1283438
Long Beach,4956,6,3,Townhouse,2023,Needs Renovation,7,2.21,15.05,707403
Los Angeles,2519,5,5,Condo,1950,Needs Renovation,7,3.12,24.07,1885179
San Jose,1385,3,5,Condo,1999,New,8,8.11,22.04,2021750
San Jose,831,5,2,Villa,1963,Needs Renovation,5,4.15,87.57,919552
Bakersfield,2064,4,4,Condo,1975,Recently Renovated,10,1.42,29.26,3424067
Long Beach,3847,4,5,Townhouse,2022,Needs Renovation,10,1.83,16.08,3754560
Oakland,590,1,2,Independent House,1977,Good,10,1.21,50.6,3886516
Los Angeles,4779,1,5,Apartment,2010,Needs Renovation,3,6.97,93.49,2125047
Long Beach,4073,3,5,Townhouse,1986,Recently Renovated,7,2.16,4.35,1421802
San Francisco,987,5,5,Condo,1993,Needs Renovation,3,8.41,4.19,1154068
Sacramento,3122,2,3,Condo,1969,Good,1,6.76,25.04,3734422
San Diego,3698,1,1,Independent House,2003,New,9,9.46,20.87,1260000
Long Beach,4431,1,3,Villa,2020,Good,5,6.29,46.64,4569129
San Diego,1545,1,5,Villa,2018,New,2,3.54,10.18,229654
Long Beach,4322,5,2,Apartment,2017,Good,5,7.34,6.68,2487800
Los Angeles,4105,4,2,Townhouse,2013,Needs Renovation,5,3.81,75.71,1056478
San Jose,2083,4,1,Condo,2018,Good,2,1.65,35.79,3378404
San Diego,3534,4,4,Villa,1963,New,10,6.43,35.47,902604
Fresno,2027,2,2,Condo,1950,Needs Renovation,5,4.7,91.08,2537177
San Francisco,3828,3,3,Villa,1993,Good,10,4.36,74.02,1714681
Sacramento,3649,6,5,Townhouse,2005,New,4,7.82,31.51,2651079
Sacramento,4284,1,2,Townhouse,2007,New,6,8.98,66.19,2041476
Bakersfield,2610,5,4,Villa,1951,New,6,6.6,50.54,621005
Sacramento,3704,4,5,Condo,1995,Good,2,2.46,74.03,821881
Oakland,2212,3,2,Condo,1950,Needs Renovation,8,3.68,88.12,2660746
Sacramento,3577,6,3,Townhouse,1958,Needs Renovation,8,6.21,12.89,4254178
San Jose,3422,1,3,Apartment,2007,Recently Renovated,8,3.12,12.4,1980276
Long Beach,2987,2,4,Independent House,1996,Good,5,6.84,26.41,3695671
San Jose,3036,5,3,Townhouse,1998,Good,3,9.4,48.59,4827641
San Jose,4204,1,5,Townhouse,1970,Good,1,9.78,34.43,4628680
San Diego,2123,5,1,Apartment,2020,Recently Renovated,9,2.29,50.86,688328
Los Angeles,823,2,3,Apartment,1959,Good,10,3.57,16.54,3581575
Oakland,933,5,5,Apartment,2018,New,9,4.77,74.1,312024
Oakland,3543,6,1,Independent House,1966,New,8,8.17,70.13,4376738
Long Beach,3380,5,4,Condo,1962,Needs Renovation,1,2.07,68.13,1676286
Los Angeles,1504,1,4,Condo,1974,Needs Renovation,4,6.25,89.73,2448629
Oakland,3561,4,4,Apartment,2015,Good,8,2.94,5.24,2767410
Anaheim,3889,2,3,Villa,1992,New,1,8.3,35.37,302506
San Jose,1492,5,2,Apartment,1998,Recently Renovated,3,6.12,37.6,332574
San Jose,1660,5,5,Apartment,1999,Recently Renovated,6,3.68,65.7,3553496
Bakersfield,4585,6,4,Condo,1957,Good,10,9.11,90.18,129230
Sacramento,4323,5,3,Condo,1965,Recently Renovated,2,3.86,17.87,2224516
Long Beach,1287,4,4,Independent House,1994,Recently Renovated,6,1.96,70.82,2870424
Los Angeles,2824,4,2,Apartment,1987,Recently Renovated,7,7.9,6.23,4831263
Anaheim,4357,2,5,Condo,1952,Needs Renovation,9,1.96,18.9,222685
San Jose,3987,3,5,Independent House,1975,Recently Renovated,9,5.66,26.55,2735114
Anaheim,824,4,3,Condo,1968,Good,1,9.83,54.75,3138958
Anaheim,2655,1,2,Apartment,2022,Good,1,2.88,95.0,506584
San Francisco,2963,3,1,Condo,1980,Recently Renovated,7,5.15,37.37,815030
Bakersfield,3012,5,2,Condo,2020,Good,7,7.92,96.98,2196605
Sacramento,1529,4,3,Villa,2014,Recently Renovated,8,5.7,18.8,4641818
Fresno,4496,4,5,Condo,2011,New,3,5.85,12.02,3446165
Sacramento,1738,3,4,Townhouse,1984,New,8,8.41,13.53,1335591
Anaheim,3078,3,2,Condo,2018,Good,4,9.57,78.72,719736
San Jose,4464,4,3,Independent House,1974,Needs Renovation,4,6.33,71.65,863290
Anaheim,3158,2,5,Townhouse,1995,New,10,8.41,49.82,336494
San Francisco,1369,4,1,Independent House,1993,New,9,6.97,93.05,4679389
Sacramento,607,4,2,Townhouse,1953,New,2,9.65,95.53,3613621
Long Beach,1735,2,2,Villa,1981,New,2,6.43,41.67,768436
Bakersfield,730,3,1,Condo,1963,New,5,4.73,69.05,1141441
Bakersfield,4881,2,2,Independent House,1950,Needs Renovation,9,5.22,81.98,4358345
Fresno,4671,1,1,Townhouse,1963,Good,6,9.86,96.25,2799445
San Jose,2280,6,4,Condo,1984,Recently Renovated,5,8.47,47.74,1159272
Los Angeles,4641,3,4,Apartment,1970,Recently Renovated,8,5.09,34.87,933840
Bakersfield,4282,6,4,Independent House,1985,New,4,3.05,92.55,2267280
Fresno,1216,5,2,Villa,2003,Good,10,6.73,81.34,2844981
Oakland,1801,6,2,Condo,1998,Needs Renovation,2,1.21,17.8,2724147
Los Angeles,2520,6,4,Villa,1995,New,1,3.21,9.81,4228352
Bakersfield,653,5,1,Apartment,1960,New,5,7.4,94.76,481807
Bakersfield,2154,6,2,Independent House,1999,Good,7,5.31,34.88,737204
San Jose,2100,1,2,Independent House,1955,Needs Renovation,6,3.48,45.39,4466562
Sacramento,4746,5,4,Independent House,2015,Needs Renovation,7,7.99,63.04,2609160
Los Angeles,4708,5,5,Apartment,1961,New,7,2.34,35.42,2050247
Oakland,3406,6,5,Townhouse,2010,Needs Renovation,4,8.23,28.6,2818132
Anaheim,2524,6,2,Condo,1971,Needs Renovation,4,8.2,64.83,2334326
Los Angeles,4350,3,3,Independent House,1951,Good,8,3.32,63.23,3343971
San Francisco,4647,2,1,Villa,1991,Recently Renovated,3,5.76,55.83,3083195
Sacramento,4650,1,1,Condo,2014,Recently Renovated,8,3.82,81.04,2077488
San Jose,2117,3,4,Condo,1981,Needs Renovation,4,8.0,78.41,283200
Oakland,1348,2,2,Apartment,2000,Good,8,9.0,38.39,1792719
Long Beach,2672,1,1,Apartment,1986,Needs Renovation,1,1.41,37.26,2349451
Long Beach,2737,4,5,Townhouse,1983,New,10,2.32,33.75,280961
Anaheim,2475,3,3,Townhouse,1977,Recently Renovated,9,8.79,88.28,2038779
Anaheim,613,4,2,Villa,1994,Needs Renovation,5,3.52,28.2,2189806
San Jose,2027,5,2,Townhouse,2014,Recently Renovated,1,5.77,39.69,3647068
Oakland,4909,2,2,Independent House,1983,Needs Renovation,3,5.61,16.24,3207069
San Jose,4443,1,4,Townhouse,1981,Needs Renovation,6,9.97,82.93,3835637
Long Beach,2007,3,5,Condo,1966,Needs Renovation,1,7.35,68.21,1572019
San Jose,3706,3,3,Townhouse,1967,Needs Renovation,3,1.1,74.31,1181697
Los Angeles,553,6,4,Apartment,1986,Needs Renovation,2,3.48,53.97,598917
Los Angeles,996,5,1,Townhouse,2000,New,4,7.21,92.95,1076602
Bakersfield,2632,5,3,Townhouse,1966,New,6,2.67,28.86,4154907
San Jose,518,5,5,Villa,1986,Good,10,3.4,54.49,2652346
Los Angeles,4839,1,3,Villa,1990,New,3,8.89,60.75,3212723
Anaheim,2633,6,5,Villa,2006,New,10,2.34,51.26,3868575
San Diego,591,2,3,Apartment,1995,Good,3,6.48,41.7,1643496
Anaheim,2933,2,3,Apartment,1972,Recently Renovated,8,8.6,91.67,1202199
Fresno,2440,2,2,Independent House,2007,New,1,5.4,3.83,4680185
Bakersfield,1217,5,5,Townhouse,1959,New,7,2.55,31.0,2831700
Long Beach,2041,1,1,Villa,2013,Needs Renovation,7,1.27,35.55,3754849
Long Beach,2666,2,5,Independent House,1978,Good,10,2.74,6.4,2967464
Sacramento,1456,1,3,Townhouse,2012,Good,1,3.95,81.35,222726
San Jose,1652,1,1,Independent House,1964,Recently Renovated,10,3.56,19.17,3464361
Los Angeles,1484,6,3,Apartment,1991,Recently Renovated,4,2.26,57.3,1447208
Sacramento,4184,6,2,Apartment,1970,Needs Renovation,2,7.88,71.09,1661143
San Jose,1531,1,4,Independent House,1995,Needs Renovation,7,5.1,59.12,157601
Sacramento,4778,2,5,Condo,2015,Recently Renovated,8,8.31,54.7,2447572
Long Beach,4233,1,4,Independent House,1999,Good,4,4.19,10.38,816634
Anaheim,1664,2,5,Condo,2012,Recently Renovated,3,5.82,17.47,1670624
Anaheim,3126,4,5,Apartment,2009,Needs Renovation,5,9.29,74.37,807637
Oakland,1202,4,5,Apartment,1980,Good,3,7.54,93.5,293651
San Jose,3141,3,5,Condo,1983,New,3,6.02,81.67,2230132
Bakersfield,3315,5,1,Independent House,2012,New,9,1.36,6.64,4099926
San Diego,3883,5,2,Villa,1989,New,8,4.33,94.37,4552175
San Jose,2258,1,5,Townhouse,2013,Needs Renovation,2,3.86,28.13,354220
Sacramento,2317,1,5,Independent House,1977,Needs Renovation,4,6.96,29.1,4776232
Fresno,1663,3,4,Townhouse,2010,Needs Renovation,2,9.83,5.18,1548749
Bakersfield,2207,2,1,Condo,1974,New,9,9.95,96.89,3774806
San Francisco,629,5,5,Independent House,1962,New,6,9.79,57.86,3414502
San Diego,3360,1,3,Condo,2003,Good,2,1.94,41.18,2501648
Oakland,2269,6,4,Condo,1965,Needs Renovation,10,6.2,71.61,773917
Bakersfield,2921,5,4,Independent House,1965,Needs Renovation,8,4.54,59.86,4142722
Oakland,2550,5,2,Apartment,2012,Recently Renovated,9,5.14,50.96,4652123
Sacramento,1699,6,4,Villa,2006,New,8,9.97,63.24,832142
San Francisco,2182,3,2,Independent House,1996,New,10,7.03,8.57,3832877
San Francisco,2938,3,1,Independent House,1970,Recently Renovated,1,2.33,45.33,1555809
Los Angeles,1250,2,2,Townhouse,1985,New,7,2.63,67.64,1583268
San Francisco,4983,3,3,Townhouse,1991,Good,7,7.33,98.26,4542558
Fresno,4271,2,4,Independent House,1977,Recently Renovated,5,6.6,10.24,1815695
San Francisco,3187,4,5,Villa,1960,Good,9,7.36,43.03,1717365
Bakersfield,1714,1,5,Villa,1978,Recently Renovated,4,8.3,7.2,1543728
Anaheim,858,1,3,Apartment,1998,Good,2,6.17,13.86,3865266
Fresno,1267,5,4,Townhouse,1953,Good,8,3.87,77.25,923996
Bakersfield,4287,3,1,Villa,1974,New,5,1.65,97.46,1704725
Bakersfield,1193,1,5,Villa,1956,Needs Renovation,7,9.21,19.59,2625206
Los Angeles,3736,2,1,Townhouse,2011,Recently Renovated,1,7.6,89.48,1855717
San Francisco,3419,6,5,Condo,1958,New,2,6.04,78.96,568142
Fresno,2582,4,2,Independent House,1979,Needs Renovation,6,9.83,58.14,2971989
San Jose,3766,1,2,Apartment,2022,New,10,5.58,32.96,2412608
Los Angeles,777,5,5,Apartment,2001,New,1,2.3,40.49,4330522
Anaheim,4537,1,4,Villa,1982,Needs Renovation,3,1.55,39.81,1332695
Bakersfield,926,3,1,Townhouse,1996,Needs Renovation,3,4.93,56.38,2758927
Long Beach,3034,2,5,Apartment,2010,Needs Renovation,7,4.36,29.85,400448
Anaheim,3201,5,3,Independent House,2020,Recently Renovated,4,8.91,88.04,1989055
Long Beach,770,2,1,Independent House,1980,New,3,1.63,14.39,4114463
Long Beach,959,2,3,Townhouse,2007,New,2,9.36,58.38,4633133
Fresno,3375,6,3,Townhouse,1994,Recently Renovated,8,4.66,90.91,1158101
Fresno,1938,5,4,Condo,1990,Recently Renovated,1,8.18,79.66,585117
Bakersfield,3706,3,1,Apartment,1997,Recently Renovated,7,1.02,36.67,1605242
Long Beach,2774,5,4,Condo,2019,New,3,8.61,38.67,2637699
Long Beach,545,6,4,Independent House,1981,Recently Renovated,5,6.33,74.99,766098
Oakland,3158,6,3,Independent House,1985,New,8,2.26,26.99,3584395
Bakersfield,3536,3,3,Apartment,1992,New,5,1.3,47.24,3465968
Anaheim,4360,6,3,Villa,1971,Recently Renovated,6,3.62,26.8,390835
Sacramento,2772,4,4,Independent House,1989,Good,8,3.17,55.98,3532352
Bakersfield,1212,6,1,Villa,1976,Recently Renovated,4,7.15,36.72,920589
Sacramento,4825,5,2,Townhouse,1992,Recently Renovated,6,3.86,48.95,3293093
Bakersfield,3834,5,3,Townhouse,1961,Good,3,9.23,30.25,348574
Los Angeles,3125,6,4,Condo,2001,Needs Renovation,9,3.63,5.13,4550756
Long Beach,4756,3,5,Apartment,2001,Needs Renovation,9,8.87,23.29,4110510
Anaheim,1006,3,5,Independent House,1965,New,5,3.38,80.66,3093409
Sacramento,1370,2,3,Townhouse,1975,Good,4,3.26,78.99,1415016
Long Beach,2959,1,4,Condo,1974,Recently Renovated,2,2.74,70.74,3618033
San Francisco,1036,5,5,Condo,1982,New,10,2.55,43.63,1136426
San Jose,2318,5,5,Condo,1951,Good,1,7.36,5.82,2903465
Oakland,3603,2,1,Apartment,1994,Needs Renovation,6,7.87,97.65,3818400
Long Beach,3897,5,5,Apartment,2019,Recently Renovated,8,3.12,50.7,335864
Fresno,3222,5,3,Apartment,2022,New,8,4.06,11.32,929639
Sacramento,4271,2,3,Independent House,2022,New,8,3.15,32.74,4016787
San Jose,1655,3,1,Apartment,2006,Recently Renovated,8,5.09,37.37,3623822
San Francisco,3923,1,4,Apartment,1989,Needs Renovation,3,9.67,9.89,3842803
Oakland,3755,5,2,Apartment,1956,Good,3,1.28,62.54,3191431
Anaheim,1445,5,2,Apartment,1992,Needs Renovation,4,6.32,9.82,242609
Fresno,4557,4,4,Townhouse,1975,Needs Renovation,3,8.48,98.91,1584197
Fresno,2045,5,4,Condo,2002,Needs Renovation,4,5.62,87.77,3352698
Los Angeles,3589,1,2,Villa,1956,Recently Renovated,5,7.73,43.09,3741390
San Diego,4695,6,3,Independent House,1966,New,10,8.87,94.13,3611532
San Francisco,1790,4,4,Villa,2006,Needs Renovation,2,2.91,22.45,2513108
Sacramento,1202,6,2,Condo,1997,Good,1,3.66,97.14,1848051
Long Beach,913,2,4,Apartment,1956,New,4,9.74,69.54,2980447
Long Beach,3876,3,2,Independent House,1965,New,7,8.18,95.56,953900
San Diego,2382,1,4,Townhouse,2021,Needs Renovation,3,3.43,20.91,2221193
Anaheim,678,1,5,Townhouse,1982,Recently Renovated,7,3.15,44.43,1674718
San Diego,3990,6,1,Apartment,1986,Good,2,1.51,89.16,3491268
San Jose,1382,5,2,Townhouse,2007,Good,4,2.8,80.83,4830029
Fresno,759,6,3,Villa,1991,Recently Renovated,2,1.07,10.95,2609839
Sacramento,4151,2,3,Villa,1967,Needs Renovation,6,1.58,29.97,1782829
Long Beach,2358,1,5,Apartment,1973,Good,7,6.1,47.04,1680317
Los Angeles,2625,6,3,Villa,1969,Needs Renovation,8,9.2,80.64,2120271
Long Beach,3402,4,5,Apartment,1991,New,8,7.53,76.76,4132127
San Diego,3472,4,1,Condo,1993,New,8,1.85,25.16,4065946
San Diego,3353,3,2,Townhouse,1995,Needs Renovation,1,1.42,23.42,173071
Bakersfield,693,1,1,Condo,2011,Needs Renovation,7,1.63,30.56,2381374
Bakersfield,2281,5,3,Apartment,1956,New,8,2.32,39.81,4925476
Fresno,1170,2,4,Independent House,2000,Needs Renovation,10,2.77,18.51,3804498
Fresno,2965,5,1,Condo,1965,Recently Renovated,8,3.48,80.68,2348878
San Diego,4801,1,3,Villa,1977,New,4,6.3,58.98,4445998
Oakland,4114,6,1,Townhouse,2008,Recently Renovated,4,8.92,43.78,1798166
Anaheim,1118,5,5,Townhouse,2008,Good,8,2.93,38.25,2075172
San Francisco,1735,3,5,Townhouse,2016,New,3,2.46,30.97,1309012
San Diego,1466,2,3,Townhouse,2010,Needs Renovation,5,4.48,6.77,4722928
Oakland,3099,5,4,Apartment,1955,Needs Renovation,5,7.31,94.62,2206711
Long Beach,1822,6,2,Villa,1983,Recently Renovated,5,3.49,40.77,1261749
Long Beach,3952,3,5,Condo,1965,Needs Renovation,1,1.69,80.78,1317618
San Jose,2722,2,5,Condo,1978,Recently Renovated,2,4.33,39.91,3578015
San Francisco,3421,2,5,Villa,1965,Recently Renovated,4,2.7,9.13,1376053
Sacramento,2679,3,4,Townhouse,1969,New,6,2.97,28.94,1652857
San Diego,505,3,4,Villa,1954,Recently Renovated,9,6.37,60.09,424668
Sacramento,4260,2,1,Villa,1978,Good,9,9.85,87.56,3076441
San Francisco,1532,4,2,Townhouse,2000,Recently Renovated,7,4.47,3.67,4016756
San Jose,1495,1,5,Independent House,1985,Needs Renovation,3,5.92,18.31,799822
Los Angeles,3777,2,3,Villa,1995,Good,2,8.9,34.2,1629030
Bakersfield,2685,1,4,Condo,1962,Needs Renovation,8,9.54,72.97,2700415
San Jose,3485,4,2,Independent House,1969,Needs Renovation,4,1.27,6.95,4537702
Sacramento,932,5,5,Villa,2007,Good,6,2.7,49.37,4073900
San Jose,3547,6,5,Townhouse,1952,Needs Renovation,3,4.17,22.27,4870899
San Francisco,4850,6,4,Townhouse,2002,Needs Renovation,5,1.75,81.72,1224570
San Diego,4992,5,2,Apartment,2006,Good,6,2.17,96.95,3822701
Fresno,1270,6,2,Condo,1990,Good,1,5.12,98.4,1358535
San Francisco,4596,3,5,Condo,1975,New,7,6.91,47.89,2669430
Anaheim,2221,1,3,Condo,2006,Needs Renovation,3,4.01,40.58,4882244
Los Angeles,2683,4,3,Villa,1971,Good,1,1.08,26.55,390040
Sacramento,2071,2,5,Villa,2010,Recently Renovated,7,3.57,37.25,4097512
San Francisco,1089,6,2,Apartment,2001,Needs Renovation,4,8.88,63.45,333513
Sacramento,715,4,4,Villa,1980,Recently Renovated,5,7.56,56.3,653620
Long Beach,4552,1,5,Independent House,1979,Recently Renovated,9,1.64,66.06,1292986
Anaheim,647,1,1,Condo,1988,New,5,9.34,73.34,3188470
Anaheim,751,6,1,Independent House,1954,Recently Renovated,3,5.01,49.35,2632292
Oakland,1283,1,3,Apartment,2004,New,5,9.75,67.54,759770
San Jose,3768,1,1,Townhouse,2017,Needs Renovation,10,5.42,80.01,2665051
San Francisco,4213,3,2,Townhouse,1976,Good,1,8.63,13.98,2763230
Fresno,3295,6,3,Independent House,2004,Recently Renovated,2,2.18,54.77,2074685
San Diego,3456,4,3,Villa,2006,Recently Renovated,10,8.82,97.23,844640
Los Angeles,1227,6,4,Apartment,1986,Good,10,4.34,80.8,1634917
Fresno,4507,4,1,Villa,2017,Needs Renovation,8,4.51,58.62,4936390
Long Beach,656,5,1,Townhouse,1983,Recently Renovated,1,4.7,46.89,2958877
Sacramento,3735,2,3,Apartment,2000,Recently Renovated,3,3.97,28.02,3007977
Long Beach,1224,4,4,Villa,1994,Good,5,6.6,62.91,4008717
Bakersfield,523,6,3,Independent House,2020,New,8,5.49,76.33,2896171
Fresno,4912,1,5,Apartment,1989,Good,4,7.56,77.94,4488472
San Diego,3637,3,4,Independent House,2001,New,9,5.92,15.49,1988317
